object_id	monster_code	count	maps	dungeons	obj_ref
221	1	28	[117 205 206 209 210 211 212 218 219 220 228 230 231 232 239 403 18105 18202 18203]	[2 3 4 133 134]	MapObject/BreakableObject/Barrel.obj
221	2	18	[118 129 209 210 211 231 406 424 18105 18202 18203]	[2 3 4 133 134]	MapObject/BreakableObject/Barrel.obj
221	3	117	[212 214 215 218 221 222 228 232 238 239 403 406 411 414 415 422 426 432 433 434 436 437 438 439 440 441 442 443 445 446 447 448 449 450 451 452 453 454 455 458 459 806 807 815 816 817 820 829 838 842 843 847 848 851 852 853 855 856 860 862 863 875 876 1025 1215 1235 1407]	[3 4 6 7 8 9]	MapObject/BreakableObject/Barrel.obj
221	4	158	[214 215 216 221 238 239 403 411 412 414 415 422 426 435 436 437 438 440 441 447 448 449 450 453 454 455 458 459 1205 1206 1207 1208 1210 1211 1212 1213 1214 1216 1217 1218 1220 1222 1223 1224 1225 1226 1227 1228 1230 1231 1232 1233 1234 1236 1237 1238 1240 1242 1243 1244 1245 1246 1247 1248 1249 18208 34056]	[3 4 8 134 3065]	MapObject/BreakableObject/Barrel.obj
221	5	4	[230 421 1406 1415]	[3 4 9]	MapObject/BreakableObject/Barrel.obj
221	6	16	[405 412 418 421 632 802 811 814 833 846 847 848 855 856 862 863]	[4 5 6]	MapObject/BreakableObject/Barrel.obj
221	7	6	[1218 1223 1238 1243]	[8]	MapObject/BreakableObject/Barrel.obj
221	8	21	[606 609 613 616 828 830 838 844 859 866 867 868 869 1404 1407]	[5 6 9]	MapObject/BreakableObject/Barrel.obj
221	10	12	[104 108 120 126 605 606 615 617 638 1413]	[2 5 9]	MapObject/BreakableObject/Barrel.obj
221	11	22	[606 1006 1219 1221 1239 1241]	[5 7 8]	MapObject/BreakableObject/Barrel.obj
221	12	2	[2814 13307]	[521 523 1000]	MapObject/BreakableObject/Barrel.obj
221	13	5	[605 606 608 617]	[5]	MapObject/BreakableObject/Barrel.obj
221	210	15	[2803 2808 2809 2811 2822 2827 8549 13302 13304 34055 55099]	[166 521 523 1000 3064]	MapObject/BreakableObject/Barrel.obj
221	211	15	[2803 2804 2808 2809 2812 2822 8549 13302 13305 55099]	[166 521 523 1000]	MapObject/BreakableObject/Barrel.obj
221	5001	6	[444 605 606]	[4 5]	MapObject/BreakableObject/Barrel.obj
221	5002	28	[810 819 825 831 835 836 858 865 873 877 880 1005 1025 2804 2808 2814 2815 2822 8549 13302 13307 13308 55099]	[6 7 166 521 523 1000]	MapObject/BreakableObject/Barrel.obj
221	5003	13	[803 808 810 828 841 858 865 873 877 880 25640]	[6 4130]	MapObject/BreakableObject/Barrel.obj
222	6	1	[628]	[5]	MapObject/BreakableObject/TreasureBox.obj
222	10	1	[635]	[5]	MapObject/BreakableObject/TreasureBox.obj
300	201	2	[4030]	[26]	MapObject/BreakableObject/CollectionBoxForLotus.obj
300	273	2	[4030]	[26]	MapObject/BreakableObject/CollectionBoxForLotus.obj
771	250	3	[3006]	[21]	MapObject/BreakableObject/OuterWallLongPot.obj
771	260	4	[3006 3010 3014]	[21]	MapObject/BreakableObject/OuterWallLongPot.obj
773	500	7	[3244 3246 3248 3251 3252 3255]	[22]	MapObject/BreakableObject/JungleLongPot.obj
773	50000	4	[3229 3230 3235 58664]	[22]	MapObject/BreakableObject/JungleLongPot.obj
775	200	1	[3409]	[23]	MapObject/BreakableObject/DarkhellLongPot.obj
775	252	7	[3409 3418 3419 3425 58674]	[23]	MapObject/BreakableObject/DarkhellLongPot.obj
775	602	6	[3403 3405 3409 3411 3415 3421]	[23]	MapObject/BreakableObject/DarkhellLongPot.obj
