object_id	ref
12693	Character/Gunner/RedRoseRifle1.obj
12694	Character/Gunner/RedRoseRifle2.obj
12695	Character/Gunner/RedRoseGrenade.obj
12696	Character/Gunner/RedRoseShotGun.obj
12791	ActionObject/Event/chn_solo_paradise_heart_02.obj
18723	ActionObject/Monster/Special/StationEscape/Smog_1.obj
19337	ActionObject/Monster/Luke_raid/Rosaura/roulette_tigger.obj
19359	ActionObject/Monster/Luke_raid/Karina/pollution_boom_warning2.obj
19360	ActionObject/Monster/Luke_raid/Karina/pollution_boom2.obj
19546	Event/SeaTrain999/ball.obj
19549	Event/SeaTrain999/postL.obj
19550	Event/SeaTrain999/postR.obj
19551	Event/SeaTrain999/Min.obj
19552	Event/SeaTrain999/Hong.obj
19553	Event/SeaTrain999/Seria.obj
19556	Event/2014money/whistle.obj
19557	Event/Defense/change.obj
19558	Event/Defense/mobgen.obj
19560	Event/Defense/bead.obj
19561	Event/Defense/bullet.obj
19745	ActionObject/Monster/Special/StationEscape/Smog_1.obj
25555	Character/DummySkillPassiveEffect.obj
37280	ActionObject/Monster/Lost_Land/Jungle/witch/Circle/Circle1.obj
37281	ActionObject/Monster/Lost_Land/Jungle/witch/Circle/Circle2.obj
37282	ActionObject/Monster/Lost_Land/Jungle/witch/Leaf/leaf.obj
37283	ActionObject/Monster/Lost_Land/Jungle/witch/Tree/Tree.obj
39111	Event/2017_gunblader/fireplace_main_12.obj
39112	Event/2017_gunblader/fireplace_agro_12.obj
48490	Event/MiniGame/cloud.obj
48491	Event/MiniGame/shylock.obj
53748	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_Atk1.obj
53749	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_Atk2.obj
53750	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_Atk3.obj
53752	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_Bottom.obj
53754	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_normal.obj
53755	ActionObject/Map/Legend/Ekern/System/FightingAura_Atk/FightingAura_normal2.obj
53807	ActionObject/Monster/Legend/Ekern/Duel/System/Versus_ING_Normal_3/C_Versus_ING_Normal_3obj
53810	ActionObject/Map/MissionQuest/Sand_Stom/sand_stom.obj
