count	signature	example_object_ids
707	pass type	[221 222 223 224 225 226 227 228 230 231]
503	basic action+pass type	[8115 8517 8518 8519 8524 8525 8526 8527 8532 8774]
446	basic action+pass type+piercing power	[8197 8536 8775 9013 9274 9291 9450 9452 9453 9454]
233	basic action+hp destroy+hp max+pass type	[8533 8534 8793 8815 8817 8833 8834 8865 10100 10101]
226	basic action	[9341 15219 15220 15223 15224 15225 15226 15309 15310 15416]
214	(not_in_lst)	[-1 0 47 119 126 128 144 147 151 155]
196	basic action+etc action+etc attack info	[11352 15285 15295 15327 15328 15454 15466 15469 15470 15479]
141	basic action+etc action+pass type+piercing power+team	[8923 10481 10544 10545 10546 10547 10548 10597 10602 10603]
132	basic action+pass type+piercing power+team	[8129 8130 8599 8666 8667 8671 9355 9908 9909 9910]
125	(presentation-only)	[1 3 4 5 6 7 8 9 13 14]
124	basic action+hp destroy+hp max+pass type+piercing power+team	[8864 8867 8868 9913 10624 19094 39045 39056 39057 39058]
116	basic action+etc action+pass type	[8363 9063 9990 9991 10196 10415 10416 10417 10510 10512]
83	basic action+pass type+team	[8877 8878 8879 8880 8957 8958 8959 8987 8989 8991]
81	basic action+hp destroy+hp max+pass type+team	[8551 8559 8944 8955 8956 8960 8962 8988 8990 8993]
73	basic action+etc action+pass type+piercing power	[8647 8648 8649 8650 8919 9049 9287 9288 10051 10220]
71	basic action+hp destroy+hp max+is hp by difficulty+last action+pass type+team	[11326 11327 11328 11329 11330 11331 11332 15221 15222 15232]
62	pass type+piercing power	[251 252 253 254 255 256 257 889 1006 1007]
59	basic action+etc action+pass type+team	[8138 8598 9045 9061 9479 9482 9483 10190 10191 10464]
57	hp destroy+hp max+pass type	[8145 9993 9994 10137 10138 10140 10149 10152 10187 10188]
54	attack info+basic action+etc action+pass type+piercing power+team	[8876 8986 9160 9161 9164 9169 11183 11187 11188 11189]
47	basic action+etc action	[18970 18991 18992 18993 18994 19889 19890 19891 19892 54148]
46	attack info+basic action+etc action+hp destroy+hp max+pass type+piercing power	[52847 52858 52866 52923 52924 120513 2090077 2090086 2090087 2090088]
39	attack info+basic action+hp destroy+pass type+piercing power	[2090007 2090008 2090009 2092153 2092154 2092428 2092429 2092431 2092432 2092433]
36	attack info+pass type+piercing power	[236 237 261 262 263 264 268 270 340 342]
34	basic action+etc action+hp destroy+hp max+ignore change map+pass type	[18281 18282 37044 37045 37046 37047 37048 37049 37050 37051]
32	attack info+hp destroy+hp max+pass type+piercing power	[2090103 2090112 2090113 2090114 2090115 2090119 2090120 2090125 2090126 2090127]
