map_id	positions	path	name	passive_ids	special_objects	object_classes	dungeons	known_dungeon_53
104	4	map/LorienInside/104.map	PVP无名	[5 6 221 243 244]	object=221 -> monster=10 level=2 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=2(ownership)	false
108	4	map/LorienInside/108.map	PVP无名	[5 6 243 244]	object=221 -> monster=10 level=2 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=2(ownership)	false
117	4	map/LorienInside/b101.map	PVP无名	[5 6 271]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=2(ownership)	false
118	4	map/LorienInside/b102.map	PVP无名	[5 6 243 244 272]	object=221 -> monster=2 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=2(ownership)	false
120	4	map/LorienInside/120(0,0)normal.map	PVP无名	[5 6 221 243 244]	object=221 -> monster=10 level=2 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=2(ownership)	false
126	4	map/LorienInside/126(1,2)normal.map	PVP无名	[5 6 243 244]	object=221 -> monster=10 level=2 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=2(ownership)	false
129	4	map/LorienInside/129(1,3)boss.map	PVP无名	[5 6 243 244 272]	object=221 -> monster=2 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=2(ownership)	false
205	4	map/Mirkwood/204.map	PVP无名	[3 4 221]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=3(ownership)	false
206	4	map/Mirkwood/205.map	PVP无名	[3 4 221 231]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
209	4	map/Mirkwood/209.map	PVP无名	[3 4 221 226 227]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=3 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
210	4	map/Mirkwood/210.map	PVP无名	[3 4 221 286]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=3(ownership)	false
211	4	map/Mirkwood/211.map	PVP无名	[3 4 221 227 282 286]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=3(ownership)	false
